id,timestamp,symbol,provider,direction,score,v2_score,confidence,strategy_version,location_15m,reversal_5m,exhaustion_15m,base_15m,structure_shift_5m,reversal_trigger_5m,early_reversal_score,entry,stop,target,risk_pct,reward_r
Bitget_2026-09-20T14:46:51.404585+00:00_SKLUSDT_LONG_0.004228,2026-09-20T14:46:51.404585+00:00,SKLUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.004228,0.004205814286,0.005041,0.6237,30.67
Bitget_2026-09-20T14:46:54.952602+00:00_TRXUSDT_SHORT_0.34506,2026-09-20T14:46:54.952602+00:00,TRXUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.34506,0.346399142857,0.33977,0.4226,3.55
Bitget_2026-09-20T15:33:14.934412+00:00_GRVTUSDT_SHORT_0.18856,2026-09-20T15:33:14.934412+00:00,GRVTUSDT,Bitget,SHORT,0.0,0.0,87.5,legacy,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.18856,0.190293,0.18179,0.979,3.61
Bitget_2026-09-20T15:33:21.087582+00:00_MUBARAKUSDT_LONG_0.03183,2026-09-20T15:33:21.087582+00:00,MUBARAKUSDT,Bitget,LONG,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.03183,0.031510571429,0.03287,1.0646,3.01
Bitget_2026-09-20T16:45:32.015335+00:00_MIRAUSDT_SHORT_0.05151,2026-09-20T16:45:32.015335+00:00,MIRAUSDT,Bitget,SHORT,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.05151,0.051622428571,0.04785,0.2812,25.04
Bitget_2026-09-20T16:45:36.017354+00:00_PIEVERSEUSDT_LONG_1.61037,2026-09-20T16:45:36.017354+00:00,PIEVERSEUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,1.61037,1.584807428571,1.9376,1.7925,11.22
Bitget_2026-09-20T16:45:42.743599+00:00_UBUSDT_LONG_0.13187,2026-09-20T16:45:42.743599+00:00,UBUSDT,Bitget,LONG,0.0,0.0,81.2,legacy,1.0,0.5,1.0,1.0,0.0,0.75,0.8125,0.13187,0.130265428571,0.18257,1.4326,26.69
Bitget_2026-09-20T17:04:55.253654+00:00_AEROUSDT_SHORT_0.6645,2026-09-20T17:04:55.253654+00:00,AEROUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.6645,0.672685714286,0.6419,1.305,2.55
Bitget_2026-09-20T17:04:59.842414+00:00_BEATUSDT_SHORT_0.0861,2026-09-20T17:04:59.842414+00:00,BEATUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.0861,0.087214285714,0.0834,1.4269,2.1
Bitget_2026-09-20T17:05:08.001411+00:00_FARTCOINUSDT_SHORT_0.1696,2026-09-20T17:05:08.001411+00:00,FARTCOINUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.1696,0.17122,0.1598,1.0849,5.21
Bitget_2026-09-20T17:05:09.091037+00:00_GALAUSDT_SHORT_0.001928,2026-09-20T17:05:09.091037+00:00,GALAUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.001928,0.001948114286,0.001829,1.1529,4.36
Bitget_2026-09-20T17:05:10.480337+00:00_HOMEUSDT_SHORT_0.006434,2026-09-20T17:05:10.480337+00:00,HOMEUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.006434,0.006521442857,0.006043,1.4592,4.1
Bitget_2026-09-20T17:05:11.429633+00:00_ICPUSDT_SHORT_2.916,2026-09-20T17:05:11.429633+00:00,ICPUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,2.916,2.963242857143,2.743,1.7656,3.28
Bitget_2026-09-20T17:05:19.509733+00:00_PONSUSDT_SHORT_0.58846,2026-09-20T17:05:19.509733+00:00,PONSUSDT,Bitget,SHORT,0.0,0.0,85.0,legacy,1.0,1.0,1.0,1.0,0.0,1.0,0.85,0.58846,0.589449285714,0.55718,0.3192,16.18
Bitget_2026-09-20T17:05:20.815043+00:00_REZUSDT_SHORT_0.003613,2026-09-20T17:05:20.815043+00:00,REZUSDT,Bitget,SHORT,0.0,0.0,80.0,legacy,1.0,0.5,1.0,0.0,1.0,1.0,0.8,0.003613,0.003633457143,0.003403,0.6619,8.64
